word,count,modifiers_json,links
window,10,"{side:1,small:1,pale:1,warm:1,open:1,dim:1}",http://gallery.nen.gov.uk/assets/0709/0000/0714/dscf3164_mid.jpg
door,22,"{glass:1,folding:1}",https://cdn.pixabay.com/photo/2015/11/04/17/53/old-door-1023051_960_720.jpg
screen,20,"{green:1,high:1,folding:1}",https://sc01.alicdn.com/kf/HTB1WvyVKFXXXXceXpXXq6xXFXXXr/Aluminum-double-glass-door-with-venetian-blinds.jpg
desk,14,"{little:1,closed:1}",https://www.oldhouseonline.com/.image/c_fit%2Ccs_srgb%2Cq_80%2Cw_780/MTQ0NDY2OTgyNjgwMDc4MjM1/wood-floor-history-opener.jpg
wall,14,"{brick:3,lofty:1,dead:3}",https://static.pexels.com/photos/57858/pexels-photo-57858.jpeg
floor,6,"{second:1,uncarpeted:1}",http://www.frontierbasementsystems.com/core/images/mold/warped-wood-floors/water-damaged-wood-floor-lg.jpg
chamber,15,,https://s-media-cache-ak0.pinimg.com/736x/99/53/b0/9953b0b9099039bed76b82a0235dff71.jpg
office,47,"{masters:1,solitary:2,uncarpeted:1}",http://www.officemuseum.com/Office_interior_possibly_C._A._Pillsbury_Minnespolis_MN_c._1885_MHS_pf121284.jpg
stairs,5,,http://4.bp.blogspot.com/-dVEKvZa6BEs/VNvpGKazb5I/AAAAAAAAA5M/MB4d9zepMcU/s1600/Whitehill%2BHouse%2BNewel%2BPost.JPG
